season,teamName,playerName,playerAge,nationality,height(cm),weight(kg),game_appear,game_lineups,position,rating,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goal_conceded,goal_assists,goal_saved,pass_total,key_pass,pass_accura,tackle_total,tackle_blocks,tackle_intercep,duel_total,duel_won,dribble_attemp,dribble_success,fouls_drawn,fouls_committed,yellow_card,yollowed_card,red_card,penalty_scored,penalty_missed,penalty_saved
2020,Atletico Madrid,L. Torreira,28,Uruguay,166.0,65.0,19.0,3.0,Midfielder,6.694736,16.0,2.0,29.0,2.0,1.0,1.0,0.0,0.0,0.0,312.0,4.0,14.0,8.0,3.0,12.0,49.0,26.0,2.0,1.0,13.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Y. Carrasco,31,Belgium,181.0,73.0,30.0,25.0,Midfielder,7.0,5.0,14.0,6.0,36.0,24.0,6.0,0.0,10.0,0.0,845.0,48.0,22.0,27.0,0.0,17.0,290.0,128.0,119.0,66.0,33.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,M. Dembélé,28,France,183.0,73.0,5.0,0.0,Attacker,6.54,5.0,0.0,17.0,6.0,2.0,0.0,0.0,0.0,0.0,31.0,1.0,4.0,0.0,0.0,1.0,16.0,7.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,H. Herrera,34,Mexico,185.0,80.0,16.0,8.0,Midfielder,6.89375,8.0,6.0,16.0,6.0,1.0,0.0,0.0,1.0,0.0,655.0,6.0,36.0,12.0,2.0,14.0,72.0,37.0,6.0,4.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Ibai Gómez,34,Spain,177.0,72.0,13.0,4.0,Midfielder,6.646153,9.0,4.0,20.0,4.0,0.0,0.0,0.0,1.0,0.0,131.0,7.0,7.0,6.0,0.0,2.0,35.0,17.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Julen Bernaola,24,Spain,186.0,77.0,0.0,0.0,Midfielder,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Balenziaga,36,Spain,177.0,76.0,23.0,17.0,Defender,6.654545,6.0,4.0,20.0,3.0,1.0,0.0,0.0,1.0,0.0,733.0,8.0,24.0,26.0,7.0,7.0,121.0,65.0,15.0,10.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Iago Herrerín,36,Spain,187.0,88.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,K. Kodro,31,Bosnia and Herzegovina,190.0,80.0,3.0,0.0,Attacker,6.733333,3.0,0.0,13.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
2020,Athletic Club,Nico Williams,22,Spain,181.0,67.0,2.0,0.0,Attacker,6.7,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,4.0,1.0,0.0,1.0,9.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Peru Nolaskoain,26,Spain,186.0,81.0,0.0,0.0,Defender,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Unai Simón,27,Spain,190.0,88.0,37.0,37.0,Goalkeeper,6.664864,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,70.0,859.0,1.0,14.0,1.0,0.0,0.0,14.0,11.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2020,Athletic Club,Iñigo Vicente,26,Spain,178.0,69.0,3.0,0.0,Attacker,7.0,3.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,47.0,4.0,12.0,1.0,0.0,0.0,5.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Jokin Ezkieta,28,Spain,193.0,80.0,1.0,1.0,Goalkeeper,6.3,0.0,0.0,36.0,0.0,0.0,0.0,2.0,0.0,1.0,18.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020,Athletic Club,Capa,32,Spain,175.0,75.0,28.0,25.0,Defender,6.692857,3.0,10.0,5.0,11.0,6.0,2.0,0.0,1.0,0.0,855.0,16.0,23.0,37.0,8.0,25.0,202.0,96.0,55.0,29.0,9.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Unai Vencedor,24,Spain,176.0,71.0,28.0,19.0,Midfielder,6.610714,9.0,10.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,913.0,7.0,26.0,31.0,6.0,18.0,163.0,73.0,8.0,8.0,22.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Jon Morcillo,26,Spain,183.0,72.0,30.0,16.0,Attacker,6.726666,14.0,13.0,22.0,18.0,8.0,2.0,0.0,2.0,0.0,383.0,25.0,9.0,16.0,0.0,15.0,153.0,57.0,25.0,13.0,16.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Unai Núñez,27,Spain,186.0,80.0,25.0,23.0,Defender,6.928,2.0,1.0,14.0,11.0,5.0,1.0,0.0,1.0,0.0,1186.0,6.0,41.0,23.0,14.0,31.0,178.0,101.0,8.0,6.0,11.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Unai López,29,Spain,170.0,68.0,26.0,15.0,Midfielder,6.926923,11.0,12.0,20.0,16.0,10.0,3.0,0.0,0.0,0.0,981.0,18.0,32.0,27.0,5.0,18.0,145.0,69.0,22.0,15.0,20.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Asier Villalibre,27,Spain,184.0,86.0,35.0,16.0,Attacker,6.708823,19.0,13.0,20.0,33.0,14.0,4.0,0.0,2.0,0.0,281.0,13.0,5.0,3.0,0.0,2.0,204.0,94.0,9.0,3.0,32.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,I. Williams,30,Ghana,186.0,81.0,38.0,27.0,Attacker,6.744736,11.0,18.0,11.0,35.0,17.0,6.0,0.0,6.0,0.0,516.0,30.0,9.0,11.0,1.0,5.0,281.0,119.0,59.0,33.0,36.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0
2020,Athletic Club,Álex Berenguer,29,Spain,175.0,73.0,35.0,27.0,Attacker,6.908571,8.0,19.0,8.0,34.0,15.0,8.0,0.0,4.0,0.0,753.0,38.0,16.0,47.0,3.0,18.0,356.0,151.0,73.0,35.0,46.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Muniain,32,Spain,170.0,65.0,28.0,23.0,Attacker,6.989285,5.0,18.0,6.0,17.0,11.0,5.0,0.0,3.0,0.0,946.0,35.0,29.0,20.0,0.0,11.0,242.0,141.0,61.0,41.0,69.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Raúl García,38,Spain,184.0,83.0,34.0,21.0,Midfielder,6.817647,13.0,12.0,13.0,36.0,14.0,5.0,0.0,1.0,0.0,558.0,15.0,10.0,34.0,1.0,15.0,368.0,206.0,13.0,7.0,50.0,50.0,7.0,1.0,1.0,2.0,1.0,0.0
2020,Valencia,Unai Etxebarría,25,Spain,188.0,78.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Vicente Esquerdo,25,Spain,180.0,77.0,4.0,3.0,Midfielder,6.966666,1.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,94.0,2.0,19.0,7.0,2.0,8.0,20.0,9.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Guillem Molina,24,Spain,183.0,71.0,2.0,1.0,Defender,6.3,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,22.0,1.0,1.0,4.0,26.0,11.0,4.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,K. Sibille,26,Argentina,183.0,71.0,0.0,0.0,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Ferro,27,Portugal,191.0,83.0,3.0,2.0,Defender,6.25,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,33.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,G. Kondogbia,31,Central African Republic,188.0,80.0,5.0,5.0,Midfielder,6.736363,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,386.0,4.0,13.0,30.0,5.0,11.0,98.0,59.0,12.0,10.0,13.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Álex Blanco,26,Spain,175.0,70.0,13.0,6.0,Midfielder,6.408333,7.0,6.0,30.0,4.0,2.0,1.0,0.0,0.0,0.0,126.0,8.0,8.0,8.0,0.0,8.0,74.0,22.0,12.0,4.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,P. Cutrone,26,Italy,183.0,75.0,7.0,0.0,Attacker,6.416666,7.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,2.0,0.0,0.0,1.0,14.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,D. Cheryshev,34,Russia,179.0,74.0,21.0,13.0,Midfielder,6.714285,8.0,13.0,11.0,18.0,6.0,0.0,0.0,3.0,0.0,272.0,16.0,8.0,19.0,1.0,12.0,137.0,54.0,20.0,8.0,14.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Manu Vallejo,27,Spain,167.0,72.0,30.0,9.0,Attacker,6.625,21.0,8.0,29.0,17.0,14.0,5.0,0.0,0.0,0.0,246.0,7.0,6.0,18.0,0.0,3.0,144.0,55.0,30.0,9.0,20.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,C. Piccini,32,Italy,189.0,79.0,3.0,0.0,Defender,6.533333,3.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,6.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,K. Koindredi,23,France,184.0,80.0,2.0,0.0,Midfielder,6.5,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,E. Mangala,33,France,188.0,84.0,7.0,4.0,Defender,6.633333,3.0,2.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,12.0,0.0,6.0,6.0,38.0,22.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Jason,30,Spain,178.0,65.0,17.0,4.0,Midfielder,6.46875,13.0,2.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,114.0,7.0,5.0,9.0,1.0,10.0,81.0,37.0,20.0,8.0,15.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0
2020,Valencia,C. Oliva,28,Uruguay,178.0,77.0,9.0,1.0,Midfielder,6.714285,8.0,1.0,16.0,2.0,1.0,0.0,0.0,2.0,0.0,102.0,2.0,10.0,2.0,0.0,6.0,20.0,9.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
